Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/chat/completions (Adversarial),2171,248,14000,21880.962033993495,392.36880000680685,175736.94510001224,286.24643021649007,7.237092722350433,0.8267153363164014,14000,23000,30000,36000,54000,71000,90000,106000,156000,176000,176000
POST,/v1/chat/completions (Happy),6361,740,14000,21500.953806493013,301.3061000383459,196588.85379997082,285.5058952994812,21.20458167059931,2.4668118906215204,14000,23000,30000,36000,52000,68000,87000,107000,156000,197000,197000
POST,/v1/chat/completions (PII),4213,479,13000,22002.692349750752,265.80219995230436,219545.56590004358,286.32565867552813,14.044160128633061,1.5967606697401462,13000,23000,31000,36000,53000,71000,91000,108000,165000,220000,220000
POST,/v1/chat/completions (Streaming),4219,485,14000,21888.44013180795,282.301000028383,198986.75370001,0.09860156435174212,14.064161306124587,1.616761847231672,14000,23000,30000,36000,53000,72000,95000,109000,162000,199000,199000
,Aggregated,16964,1952,14000,21770.56163195582,265.80219995230436,219545.56590004358,214.82256543268096,56.54999582770739,6.50704974390974,14000,23000,30000,36000,53000,70000,91000,108000,162000,199000,220000
