Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786970774,1500,,Aggregated,132.900000,68.100000,4200,4300,5300,6900,9800,13000,16000,18000,24000,27000,27000,3639,1937,4200,5250.343166061706,265.80219995230436,26703.030199976638,116.72025281670788
1786970775,1500,,Aggregated,110.300000,44.900000,4200,4300,5700,7200,10000,13000,17000,18000,25000,27000,27000,3714,1938,4200,5361.92634749551,265.80219995230436,26703.030199976638,119.23344103392569
1786970776,1500,,Aggregated,103.300000,40.900000,4200,4300,6100,7400,11000,14000,17000,19000,25000,27000,27000,3770,1938,4200,5456.192012943796,265.80219995230436,27299.312699993607,120.97506631299734
1786970777,1500,,Aggregated,94.900000,32.800000,4200,4300,6400,7600,11000,14000,18000,19000,27000,27000,27000,3834,1938,4200,5567.164135236843,265.80219995230436,27299.312699993607,122.83098591549296
1786970778,1500,,Aggregated,94.900000,32.800000,4200,4300,6700,7800,11000,15000,18000,20000,27000,29000,29000,3890,1938,4200,5659.768812313122,265.80219995230436,28824.80940001551,124.46709511568123
1786970779,1500,,Aggregated,78.900000,19.400000,4200,4300,6800,8000,12000,15000,18000,22000,28000,31000,31000,3950,1938,4200,5778.9231159235605,265.80219995230436,31173.128800000995,126.5832911392405
1786970780,1500,,Aggregated,74.800000,14.800000,4200,4300,7100,8300,12000,16000,19000,23000,30000,31000,31000,4026,1938,4200,5927.49558082424,265.80219995230436,31469.930700026453,129.24813710879283
1786970781,1500,,Aggregated,70.900000,11.500000,4200,4400,7200,8500,12000,16000,20000,23000,31000,32000,32000,4097,1938,4200,6044.724467024296,265.80219995230436,31556.7167000263,131.34439834024897
1786970782,1500,,Aggregated,69.900000,7.400000,4200,4700,7500,8700,13000,17000,21000,25000,31000,34000,34000,4169,1938,4200,6201.103785367894,265.80219995230436,33785.848600033205,133.87958743103863
1786970783,1500,,Aggregated,68.100000,4.300000,4200,4800,7500,8800,13000,17000,22000,25000,31000,34000,34000,4188,1938,4200,6237.101334550792,265.80219995230436,33785.848600033205,134.2748328557784
1786970784,1500,,Aggregated,64.900000,0.700000,4300,4800,7600,8900,13000,17000,22000,25000,31000,34000,34000,4218,1938,4300,6289.776052133375,265.80219995230436,33785.848600033205,134.69819819819818
1786970785,1500,,Aggregated,59.900000,0.100000,4300,5000,7700,9000,13000,18000,22000,25000,32000,36000,36000,4259,1938,4300,6359.7829224697425,265.80219995230436,36383.75049998285,135.22164827424277
1786970786,1500,,Aggregated,57.400000,0.100000,4300,5100,7700,9100,13000,18000,23000,26000,32000,36000,36000,4281,1938,4300,6405.126559541804,265.80219995230436,36383.75049998285,135.50759168418594
1786970787,1500,,Aggregated,54.000000,0.000000,4300,5300,7900,9300,14000,18000,24000,27000,33000,37000,37000,4331,1938,4300,6540.498598244901,265.80219995230436,37421.71700001927,136.85176633571925
1786970788,1500,,Aggregated,51.400000,0.000000,4300,5600,8200,9600,15000,19000,25000,28000,37000,40000,40000,4403,1938,4300,6722.0188952302615,265.80219995230436,40256.201300013345,139.01544401544402
1786970789,1500,,Aggregated,49.100000,0.000000,4300,5800,8200,9600,15000,19000,25000,29000,37000,40000,40000,4424,1938,4300,6760.967599660654,265.80219995230436,40256.201300013345,139.5237341772152
1786970790,1500,,Aggregated,50.800000,0.000000,4300,6000,8300,9700,15000,19000,25000,29000,37000,40000,40000,4451,1938,4300,6804.933361806055,265.80219995230436,40256.201300013345,140.05616715344865
1786970791,1500,,Aggregated,47.600000,0.000000,4300,6100,8400,9800,15000,20000,25000,29000,37000,40000,40000,4486,1938,4300,6883.267398974273,265.80219995230436,40256.201300013345,140.04346856888097
1786970792,1500,,Aggregated,42.300000,0.000000,4300,6200,8500,10000,15000,20000,26000,30000,37000,40000,40000,4510,1938,4300,6958.479255720289,265.80219995230436,40256.201300013345,140.73059866962305
1786970793,1500,,Aggregated,39.300000,0.000000,4300,6400,8700,10000,16000,21000,27000,31000,39000,44000,44000,4581,1938,4300,7144.461012486019,265.80219995230436,44145.11159999529,142.00436585898277
1786970794,1500,,Aggregated,35.000000,0.000000,4300,6800,9000,11000,17000,22000,28000,32000,39000,44000,44000,4656,1938,4300,7335.358806979927,265.80219995230436,44145.11159999529,143.80992268041237
1786970795,1500,,Aggregated,37.800000,0.000000,4300,6800,9100,11000,17000,23000,29000,32000,40000,44000,44000,4702,1938,4300,7468.1972150146175,265.80219995230436,44145.11159999529,144.5325393449596
1786970796,1500,,Aggregated,43.000000,0.000000,4300,7100,9500,11000,18000,24000,30000,33000,44000,48000,48000,4786,1938,4300,7708.785837630342,265.80219995230436,47873.446899990086,146.11262014208106
1786970797,1500,,Aggregated,43.700000,0.000000,4300,7200,9700,12000,18000,24000,32000,36000,45000,48000,48000,4851,1938,4300,7916.776348072327,265.80219995230436,47873.446899990086,147.61719233147804
1786970798,1500,,Aggregated,49.300000,0.000000,4300,7400,9900,12000,19000,25000,33000,37000,46000,48000,48000,4931,1938,4300,8101.024539849745,265.80219995230436,47873.446899990086,149.08700060839587
1786970799,1500,,Aggregated,52.000000,0.000000,4300,7500,10000,12000,19000,26000,34000,38000,47000,51000,51000,5007,1938,4300,8328.935501957034,265.80219995230436,51347.44530002354,150.82364689434792
1786970800,1500,,Aggregated,51.500000,0.000000,4300,7600,10000,13000,20000,27000,35000,39000,47000,52000,52000,5079,1938,4300,8501.524584091143,265.80219995230436,52498.25609999243,151.80173262453238
1786970801,1500,,Aggregated,57.300000,0.000000,4300,7800,11000,13000,21000,29000,36000,40000,48000,53000,53000,5156,1938,4300,8709.357448215467,265.80219995230436,52761.02149998769,153.16815360744764
1786970802,1500,,Aggregated,61.300000,0.000000,4300,7900,11000,13000,22000,29000,36000,40000,48000,53000,53000,5212,1938,4300,8819.525982693569,265.80219995230436,52761.02149998769,154.68303914044512
1786970803,1500,,Aggregated,66.300000,0.000000,4300,8000,11000,14000,22000,30000,37000,40000,48000,53000,53000,5254,1938,4300,8907.782204777115,265.80219995230436,52761.02149998769,155.41377997716026
1786970804,1500,,Aggregated,67.500000,0.000000,4300,8100,11000,14000,22000,30000,37000,40000,48000,54000,54000,5290,1938,4300,9011.944569508307,265.80219995230436,53905.15369997593,156.0657844990548
1786970805,1500,,Aggregated,68.500000,0.000000,4300,8100,11000,14000,23000,30000,37000,40000,51000,54000,54000,5328,1938,4300,9082.470018449538,265.80219995230436,53905.15369997593,156.40765765765767
1786970806,1500,,Aggregated,63.800000,0.000000,4300,8200,11000,14000,23000,31000,37000,41000,51000,54000,54000,5363,1938,4300,9162.984068468979,265.80219995230436,53905.15369997593,156.7119149729629
1786970807,1500,,Aggregated,63.400000,0.000000,4300,8300,12000,14000,23000,31000,38000,42000,51000,54000,54000,5410,1938,4300,9280.146110850103,265.80219995230436,53905.15369997593,157.44011090573014
1786970808,1500,,Aggregated,58.900000,0.000000,4300,8500,12000,15000,24000,32000,39000,43000,52000,56000,56000,5489,1938,4300,9478.616832227897,265.80219995230436,55566.1095000105,158.5871743486974
1786970809,1500,,Aggregated,55.200000,0.000000,4300,8600,12000,15000,24000,32000,39000,44000,53000,61000,61000,5561,1938,4300,9626.882546394334,265.80219995230436,61365.26130000129,159.37996763172092
1786970810,1500,,Aggregated,55.800000,0.000000,4300,8800,12000,15000,24000,33000,40000,44000,54000,61000,61000,5620,1938,4300,9735.324949643898,265.80219995230436,61365.26130000129,160.40800711743773
1786970811,1500,,Aggregated,54.800000,0.000000,4300,8800,12000,15000,25000,33000,40000,45000,55000,61000,61000,5658,1938,4300,9816.920176139747,265.80219995230436,61365.26130000129,160.75786496995406
1786970812,1500,,Aggregated,54.800000,0.000000,4300,8900,13000,16000,25000,34000,41000,46000,55000,61000,61000,5718,1938,4300,9971.987305928445,265.80219995230436,61365.26130000129,161.6129765652326
1786970813,1500,,Aggregated,49.400000,0.000000,4300,9000,13000,16000,26000,34000,41000,46000,55000,61000,61000,5766,1938,4300,10089.690325355326,265.80219995230436,61365.26130000129,162.28425251474158
1786970814,1500,,Aggregated,52.500000,0.000000,4400,9100,13000,16000,26000,35000,42000,46000,56000,61000,61000,5817,1938,4400,10168.04182563155,265.80219995230436,61365.26130000129,162.80488224170534
1786970815,1500,,Aggregated,50.700000,0.000000,4500,9300,13000,16000,26000,35000,43000,47000,57000,61000,61000,5886,1938,4500,10294.413137393534,265.80219995230436,61365.26130000129,163.6401630988787
